,topic_index,positive,negative,neutral
0,1,96.05,2.72,1.23
1,2,93.24,4.11,2.65
2,3,92.47,5.09,2.45
3,4,83.82,11.76,4.41
4,5,88.96,6.02,5.02
5,6,87.34,9.49,3.16
6,7,94.22,3.63,2.15
7,8,89.49,7.48,3.03
8,9,95.88,2.59,1.53
9,10,47.46,45.09,7.46
10,11,90.58,6.96,2.46
11,12,92.16,5.1,2.74
12,13,90.98,5.29,3.73
13,14,93.54,3.55,2.91
14,15,87.28,8.51,4.21
15,16,89.53,6.92,3.54
16,17,96.48,2.46,1.05
17,18,88.18,8.93,2.88
